StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage, ,Q2,Q3,Q16,Q16_DO,blocknumber,FL_49_DO
11/18/2021 18:20,11/18/2021 19:55,IP Address,117.103.94.205,100,5708,TRUE,11/18/2021 19:55,R_3HhoJAG9xoFToQP,,,,,7.091003418,171.3764954,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free),34,Treatment2
11/18/2021 19:55,11/18/2021 19:56,IP Address,117.103.94.205,100,31,TRUE,11/18/2021 19:56,R_1Ok22ceacB0OVP8,,,,,7.091003418,171.3764954,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),73,Treatment1
11/18/2021 20:13,11/18/2021 20:18,IP Address,23.82.194.108,100,296,TRUE,11/18/2021 20:18,R_1Fbp5hSaVYVgQW7,,,,,38.7492981,-77.4917984,anonymous,EN,20-24,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month),63,Treatment3
11/18/2021 20:19,11/18/2021 20:20,IP Address,99.63.160.14,100,47,TRUE,11/18/2021 20:20,R_Cl8DFnHiIbkYs01,,,,,38.61700439,-90.25659943,anonymous,EN,25-29,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),65,Treatment2
11/18/2021 22:24,11/18/2021 22:29,IP Address,49.37.149.162,100,311,TRUE,11/18/2021 22:29,R_yx68OSdnHxC3qeZ,,,,,17.42539978,78.50750732,anonymous,EN,20-24,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),53,Treatment1
11/19/2021 1:01,11/19/2021 1:02,IP Address,59.92.97.103,100,54,TRUE,11/19/2021 1:02,R_1Gwh0Zx0LFQtanX,,,,,11.34579468,77.73339844,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free),91,
11/19/2021 1:49,11/19/2021 1:52,IP Address,87.201.52.4,100,172,TRUE,11/19/2021 1:52,R_uaLAzJUx9xeTbz3,,,,,25.26330566,55.30870056,anonymous,EN,30-34,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only features ($2/month),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),75,Treatment3
11/19/2021 6:39,11/19/2021 6:40,IP Address,106.222.121.147,100,76,TRUE,11/19/2021 6:40,R_2zwEarhw06KfKeN,,,,,11.01420593,76.99411011,anonymous,EN,25-29,Male,"Master's degree, Ph.D, or higher",,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month),69,Treatment1
11/19/2021 7:44,11/19/2021 7:46,IP Address,174.203.100.136,100,122,TRUE,11/19/2021 7:46,R_O0VpNxzoFl3EL0B,,,,,40.37750244,-79.96130371,anonymous,EN,20-24,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),18,Treatment2
11/19/2021 9:46,11/19/2021 9:47,IP Address,74.109.248.166,100,48,TRUE,11/19/2021 9:47,R_2770TORWvXxnHho,,,,,40.47250366,-79.9108963,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free),59,Treatment3
11/19/2021 9:54,11/19/2021 9:57,IP Address,172.58.139.91,100,169,TRUE,11/19/2021 9:57,R_1QmavfBeLnGnmE4,,,,,41.97039795,-87.70359802,anonymous,EN,30-34,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free),13,Treatment2
11/19/2021 10:19,11/19/2021 10:20,IP Address,98.127.136.187,100,55,TRUE,11/19/2021 10:20,R_1f8hGLCc4f7rwcv,,,,,46.6098938,-112.0243988,anonymous,EN,25-29,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),41,Treatment3
11/19/2021 13:54,11/19/2021 13:55,IP Address,73.154.123.190,100,62,TRUE,11/19/2021 13:55,R_1PXgOtexXwzUOWe,,,,,40.44419861,-79.95570374,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),86,
11/19/2021 14:33,11/19/2021 14:34,IP Address,128.2.149.108,100,51,TRUE,11/19/2021 14:34,R_USbwtmLlBzPXfix,,,,,40.4394989,-79.94300079,anonymous,EN,30-34,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),86,
11/19/2021 14:48,11/19/2021 14:49,IP Address,74.98.222.125,100,51,TRUE,11/19/2021 14:49,R_1gtO0DexITswOBp,,,,,40.42680359,-79.89350128,anonymous,EN,30-34,Female,"Master's degree, Ph.D, or higher",InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free),28,Treatment1
11/19/2021 14:58,11/19/2021 15:00,IP Address,173.75.15.167,100,151,TRUE,11/19/2021 15:00,R_3McewKd1pLZ6nk7,,,,,40.43240356,-79.92469788,anonymous,EN,35 or more than 35,Male,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month),40,Treatment2
11/19/2021 15:00,11/19/2021 15:01,IP Address,67.171.70.124,100,78,TRUE,11/19/2021 15:01,R_yjpbMMGV35dYW89,,,,,40.43240356,-79.92469788,anonymous,EN,30-34,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),59,Treatment3
11/19/2021 15:07,11/19/2021 15:08,IP Address,73.154.179.186,100,61,TRUE,11/19/2021 15:08,R_UFsLL4XCG4IS1Tb,,,,,40.44419861,-79.95570374,anonymous,EN,30-34,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month),7,Treatment1
11/19/2021 17:56,11/19/2021 17:57,IP Address,98.236.30.120,100,59,TRUE,11/19/2021 17:57,R_3L6iDxyqeX3bokM,,,,,40.47250366,-79.9108963,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free),36,Treatment1
11/19/2021 18:22,11/19/2021 19:03,IP Address,98.236.30.120,100,2482,TRUE,11/19/2021 19:03,R_2dvd06Cgi0qNvRb,,,,,40.47250366,-79.9108963,anonymous,EN,25-29,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month),40,Treatment2
11/19/2021 21:32,11/19/2021 21:33,IP Address,24.217.99.115,100,60,TRUE,11/19/2021 21:33,R_p3Q467utlg4cvKN,,,,,38.66200256,-90.28890228,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month),96,
11/19/2021 22:07,11/19/2021 22:08,IP Address,97.92.208.102,100,53,TRUE,11/19/2021 22:08,R_2wLd9DrpI7oPKF9,,,,,38.40730286,-90.4367981,anonymous,EN,25-29,Female,Technical / trade school,InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free),51,Treatment3
11/19/2021 22:39,11/19/2021 22:41,IP Address,174.208.195.134,100,81,TRUE,11/19/2021 22:41,R_vPK9vBQ51qZ31C1,,,,,41.87190247,-87.6588974,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month),16,Treatment2
11/20/2021 11:56,11/20/2021 11:57,IP Address,45.21.6.110,100,68,TRUE,11/20/2021 11:57,R_RmhM1ThJOeuvapj,,,,,29.73370361,-98.66760254,anonymous,EN,25-29,Male,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),93,
11/20/2021 12:39,11/20/2021 12:40,IP Address,174.208.224.28,100,56,TRUE,11/20/2021 12:40,R_31BDVLYVZMIXmTD,,,,,41.69839478,-87.70310211,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),34,Treatment3
11/20/2021 12:39,11/20/2021 12:40,IP Address,174.212.108.221,100,92,TRUE,11/20/2021 12:40,R_2t06lvcm0ki5z8y,,,,,36.167099,-86.78610229,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free),4,Treatment1
11/20/2021 12:42,11/20/2021 12:43,IP Address,166.216.158.175,100,58,TRUE,11/20/2021 12:43,R_3p5p3KiIfjmDQ5c,,,,,37.67359924,-122.0943985,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only features ($2/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),52,Treatment2
11/20/2021 12:50,11/20/2021 12:51,IP Address,96.35.36.20,100,68,TRUE,11/20/2021 12:51,R_2eUTIGuOCM1I82F,,,,,38.57589722,-90.51670074,anonymous,EN,35 or more than 35,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month),5,Treatment3
11/20/2021 12:53,11/20/2021 12:55,IP Address,209.107.191.197,100,122,TRUE,11/20/2021 12:55,R_2auRhZphl6tEryV,,,,,38.65829468,-77.24810028,anonymous,EN,25-29,Male,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),88,
11/20/2021 13:07,11/20/2021 13:08,IP Address,73.169.222.96,100,73,TRUE,11/20/2021 13:08,R_3oLMLQhzZJ66uoY,,,,,47.60110474,-122.6305008,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free),29,Treatment1
11/20/2021 13:27,11/20/2021 13:27,IP Address,107.77.207.182,100,32,TRUE,11/20/2021 13:27,R_42BNRbHz9QlaT5v,,,,,41.87640381,-87.61329651,anonymous,EN,35 or more than 35,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),40,Treatment1
11/20/2021 13:45,11/20/2021 13:47,IP Address,68.13.164.189,100,75,TRUE,11/20/2021 13:47,R_2ylJjDdj6e5YyAu,,,,,41.23269653,-96.11380005,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month),97,
11/20/2021 13:50,11/20/2021 13:51,IP Address,38.69.57.229,100,97,TRUE,11/20/2021 13:51,R_1I4nnHJwub42LJ3,,,,,42.05499268,-87.69509888,anonymous,EN,30-34,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),58,Treatment2
11/20/2021 13:57,11/20/2021 13:58,IP Address,174.209.230.21,100,24,TRUE,11/20/2021 13:58,R_1me1Sd84Da4YKZr,,,,,37.75100708,-97.8219986,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),39,Treatment2
11/20/2021 14:17,11/20/2021 14:19,IP Address,24.178.241.59,100,93,TRUE,11/20/2021 14:19,R_09hEM1bDtZG2T7P,,,,,38.57929993,-90.42199707,anonymous,EN,35 or more than 35,Female,"Master's degree, Ph.D, or higher",InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),72,Treatment1
11/20/2021 14:36,11/20/2021 14:37,IP Address,107.117.168.20,100,32,TRUE,11/20/2021 14:37,R_21bPDUEdV6oTayZ,,,,,38.57739258,-90.67089844,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),100,
11/20/2021 14:40,11/20/2021 14:41,IP Address,50.103.104.200,100,45,TRUE,11/20/2021 14:41,R_AsTQad5oqN9wrkZ,,,,,40.1967926,-88.39250183,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),32,Treatment3
11/20/2021 15:42,11/20/2021 15:44,IP Address,173.66.76.64,100,103,TRUE,11/20/2021 15:44,R_3s6uLOUnVfhxnBe,,,,,38.85969543,-77.19799805,anonymous,EN,35 or more than 35,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free),4,Treatment1
11/20/2021 15:54,11/20/2021 15:55,IP Address,108.235.93.30,100,86,TRUE,11/20/2021 15:55,R_1LAxQd1u7Vu2K8U,,,,,35.23379517,-97.40950012,anonymous,EN,30-34,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),95,
11/20/2021 16:03,11/20/2021 16:04,IP Address,37.19.213.19,100,59,TRUE,11/20/2021 16:04,R_2rpXmEDnNFxrdTz,,,,,43.62269592,-79.3891983,anonymous,EN,20-24,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),42,Treatment2
11/20/2021 16:08,11/20/2021 16:11,IP Address,174.86.138.244,100,128,TRUE,11/20/2021 16:11,R_1doR8RlYslK5DTw,,,,,38.61010742,-90.55999756,anonymous,EN,35 or more than 35,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only features ($2/month),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),40,Treatment3
11/20/2021 16:48,11/20/2021 16:49,IP Address,104.28.77.41,100,60,TRUE,11/20/2021 16:49,R_3M0ai1vtIcLIiVt,,,,,35.770401,-78.62930298,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),4,Treatment2
11/20/2021 17:08,11/20/2021 17:08,IP Address,69.242.121.127,100,34,TRUE,11/20/2021 17:08,R_2SoCrTAJbRgqbzZ,,,,,39.98280334,-75.82389832,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),2,Treatment1
11/20/2021 17:26,11/20/2021 17:26,IP Address,69.226.238.188,100,34,TRUE,11/20/2021 17:26,R_3iL3f1cgJLg02i8,,,,,36.10850525,-86.77380371,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free),59,Treatment1
11/20/2021 17:14,11/20/2021 17:45,IP Address,47.5.64.23,100,1892,TRUE,11/20/2021 17:45,R_3gNjvi2EMgv5yF1,,,,,38.44790649,-105.2205963,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),11,Treatment3
11/20/2021 18:55,11/20/2021 18:56,IP Address,174.101.51.104,100,61,TRUE,11/20/2021 18:56,R_2CxlO4f9AUxYPhO,,,,,39.45219421,-83.84100342,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month),32,Treatment3
11/20/2021 19:00,11/20/2021 19:08,IP Address,172.58.47.25,100,461,TRUE,11/20/2021 19:08,R_3EMB3FJ7UYYISAC,,,,,43.61650085,-116.2001038,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),11,Treatment2
11/21/2021 5:53,11/21/2021 5:57,IP Address,162.254.120.107,100,241,TRUE,11/21/2021 5:57,R_RmZY7Bpl1UiD237,,,,,26.37710571,-81.73339844,anonymous,EN,35 or more than 35,Male,Bachelor's (or 4-year) degree,,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free),61,Treatment1
11/21/2021 5:57,11/21/2021 5:58,IP Address,162.254.120.107,100,62,TRUE,11/21/2021 5:58,R_2U44AuAR3ZFpumZ,,,,,26.37710571,-81.73339844,anonymous,EN,35 or more than 35,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month),11,Treatment2
11/21/2021 6:29,11/21/2021 6:31,IP Address,108.207.149.193,100,140,TRUE,11/21/2021 6:31,R_wSODGIJE5pyNiyR,,,,,38.64329529,-90.25749969,anonymous,EN,35 or more than 35,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing feature ($1/month),InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),6,Treatment3
11/21/2021 6:48,11/21/2021 6:49,IP Address,96.239.24.171,100,81,TRUE,11/21/2021 6:49,R_BVdh4nv66P57Neh,,,,,40.7098999,-73.95909882,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free),36,Treatment2
11/21/2021 7:35,11/21/2021 7:36,IP Address,172.58.235.158,100,114,TRUE,11/21/2021 7:36,R_2VIRUQ3CKE3JZqz,,,,,40.75970459,-74.18360138,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),53,Treatment1
11/21/2021 7:54,11/21/2021 7:55,IP Address,49.37.176.86,100,67,TRUE,11/21/2021 7:55,R_3g1kAoJKXRfvqlS,,,,,12.96339417,77.58551025,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free),63,Treatment3
11/21/2021 14:00,11/21/2021 14:01,IP Address,172.250.121.65,100,42,TRUE,11/21/2021 14:01,R_3NNYFpUrH57dZN7,,,,,34.06750488,-118.3520966,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free),77,
11/22/2021 2:33,11/22/2021 2:37,IP Address,23.84.208.182,100,211,TRUE,11/22/2021 2:37,R_33wmYStRKhZ81po,,,,,38.65870667,-90.46099854,anonymous,EN,35 or more than 35,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only features ($2/month),InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),83,
11/22/2021 9:59,11/22/2021 10:00,IP Address,166.205.107.39,100,50,TRUE,11/22/2021 10:00,R_1E5nLG8ut8fQ6C8,,,,,33.81599426,-117.9692001,anonymous,EN,30-34,Female,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month),51,Treatment2
11/23/2021 10:00,11/23/2021 10:00,IP Address,136.58.104.66,100,50,TRUE,11/23/2021 10:00,R_DzLPhb6IJ8pqxsB,,,,,36.15150452,-86.79199982,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),18,Treatment1
11/23/2021 12:44,11/23/2021 12:46,IP Address,24.207.252.152,100,103,TRUE,11/23/2021 12:46,R_qWVphMTOM8j7E7D,,,,,38.66200256,-90.28890228,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),72,Treatment3
